Year,Round,GrandPrix,Driver,Team,FP2_LapTime,FP2_GapToBest
2025,1,Australian Grand Prix,ALB,Williams,77.302,0.863
2025,1,Australian Grand Prix,ALO,Aston Martin,77.33,0.891
2025,1,Australian Grand Prix,ANT,Mercedes,77.634,1.195
2025,1,Australian Grand Prix,BOR,Kick Sauber,77.847,1.408
2025,1,Australian Grand Prix,DOO,Alpine,77.394,0.955
2025,1,Australian Grand Prix,GAS,Alpine,77.493,1.054
2025,1,Australian Grand Prix,HAD,Racing Bulls,77.019,0.58
2025,1,Australian Grand Prix,HAM,Ferrari,76.859,0.42
2025,1,Australian Grand Prix,HUL,Kick Sauber,77.161,0.722
2025,1,Australian Grand Prix,LAW,Red Bull Racing,77.64,1.201
2025,1,Australian Grand Prix,LEC,Ferrari,76.439,0.0
2025,1,Australian Grand Prix,NOR,McLaren,76.58,0.141
2025,1,Australian Grand Prix,OCO,Haas F1 Team,78.034,1.595
2025,1,Australian Grand Prix,PIA,McLaren,76.563,0.124
2025,1,Australian Grand Prix,RUS,Mercedes,77.282,0.843
2025,1,Australian Grand Prix,SAI,Williams,77.302,0.863
2025,1,Australian Grand Prix,STR,Aston Martin,77.279,0.84
2025,1,Australian Grand Prix,TSU,Racing Bulls,76.784,0.345
2025,1,Australian Grand Prix,VER,Red Bull Racing,77.063,0.624
2025,3,Japanese Grand Prix,ALB,Williams,89.023,0.909
2025,3,Japanese Grand Prix,ALO,Aston Martin,89.978,1.8639999999999999
2025,3,Japanese Grand Prix,ANT,Mercedes,89.733,1.619
2025,3,Japanese Grand Prix,BEA,Haas F1 Team,89.654,1.54
2025,3,Japanese Grand Prix,BOR,Kick Sauber,89.335,1.221
2025,3,Japanese Grand Prix,DOO,Alpine,91.659,3.545
2025,3,Japanese Grand Prix,GAS,Alpine,88.757,0.643
2025,3,Japanese Grand Prix,HAD,Racing Bulls,88.518,0.404
2025,3,Japanese Grand Prix,HAM,Ferrari,88.544,0.43
2025,3,Japanese Grand Prix,HUL,Kick Sauber,89.062,0.948
2025,3,Japanese Grand Prix,LAW,Racing Bulls,88.559,0.445
2025,3,Japanese Grand Prix,LEC,Ferrari,88.586,0.472
2025,3,Japanese Grand Prix,NOR,McLaren,88.163,0.049
2025,3,Japanese Grand Prix,OCO,Haas F1 Team,89.507,1.393
2025,3,Japanese Grand Prix,PIA,McLaren,88.114,0.0
2025,3,Japanese Grand Prix,RUS,Mercedes,88.567,0.453
2025,3,Japanese Grand Prix,SAI,Williams,88.832,0.718
2025,3,Japanese Grand Prix,STR,Aston Martin,90.845,2.731
2025,3,Japanese Grand Prix,TSU,Red Bull Racing,90.625,2.511
2025,3,Japanese Grand Prix,VER,Red Bull Racing,88.67,0.556
2025,4,Bahrain Grand Prix,ALB,Williams,91.696,1.191
2025,4,Bahrain Grand Prix,ALO,Aston Martin,91.825,1.32
2025,4,Bahrain Grand Prix,ANT,Mercedes,91.227,0.722
2025,4,Bahrain Grand Prix,BEA,Haas F1 Team,91.584,1.079
2025,4,Bahrain Grand Prix,BOR,Kick Sauber,91.772,1.267
2025,4,Bahrain Grand Prix,DOO,Alpine,91.788,1.283
2025,4,Bahrain Grand Prix,GAS,Alpine,91.947,1.442
2025,4,Bahrain Grand Prix,HAD,Racing Bulls,91.238,0.733
2025,4,Bahrain Grand Prix,HAM,Ferrari,91.576,1.071
2025,4,Bahrain Grand Prix,HUL,Kick Sauber,92.496,1.991
2025,4,Bahrain Grand Prix,LAW,Racing Bulls,91.706,1.201
2025,4,Bahrain Grand Prix,LEC,Ferrari,91.045,0.54
2025,4,Bahrain Grand Prix,NOR,McLaren,90.659,0.154
2025,4,Bahrain Grand Prix,OCO,Haas F1 Team,91.87,1.365
2025,4,Bahrain Grand Prix,PIA,McLaren,90.505,0.0
2025,4,Bahrain Grand Prix,RUS,Mercedes,91.032,0.527
2025,4,Bahrain Grand Prix,SAI,Williams,91.623,1.1179999999999999
2025,4,Bahrain Grand Prix,STR,Aston Martin,92.382,1.877
2025,4,Bahrain Grand Prix,TSU,Red Bull Racing,92.024,1.5190000000000001
2025,4,Bahrain Grand Prix,VER,Red Bull Racing,91.33,0.825
2025,5,Saudi Arabian Grand Prix,ALB,Williams,89.22,0.953
2025,5,Saudi Arabian Grand Prix,ALO,Aston Martin,89.662,1.395
2025,5,Saudi Arabian Grand Prix,ANT,Mercedes,89.242,0.975
2025,5,Saudi Arabian Grand Prix,BEA,Haas F1 Team,89.754,1.487
2025,5,Saudi Arabian Grand Prix,DOO,Alpine,89.912,1.645
2025,5,Saudi Arabian Grand Prix,GAS,Alpine,89.106,0.839
2025,5,Saudi Arabian Grand Prix,HAD,Racing Bulls,89.306,1.039
