Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3536.606,NOR,4,80.878,1.0,1.0,,,,27.269,22.935,,3513.916,3536.709,284.0,262.0,298.0,203.0,False,MEDIUM,1.0,True,McLaren,3455.434,,1,2.0,False,,False,False
3612.74,NOR,4,76.134,2.0,1.0,,,26.061,27.155,22.918,3562.731,3589.886,3612.804,283.0,262.0,299.0,282.0,True,MEDIUM,2.0,True,McLaren,3536.606,,1,2.0,False,,False,True
3689.236,NOR,4,76.496,3.0,1.0,,,25.995,27.72,22.781,3638.799,3666.519,3689.3,281.0,260.0,300.0,281.0,False,MEDIUM,3.0,True,McLaren,3612.74,,1,2.0,False,,False,True
3765.54,NOR,4,76.304,4.0,1.0,,,25.836,27.683,22.785,3715.136,3742.819,3765.604,284.0,263.0,301.0,287.0,False,MEDIUM,4.0,True,McLaren,3689.236,,1,2.0,False,,False,True
3841.811,NOR,4,76.271,5.0,1.0,,,25.816,27.72,22.735,3791.42,3819.14,3841.875,,262.0,299.0,289.0,False,MEDIUM,5.0,True,McLaren,3765.54,,1,2.0,False,,False,True
3918.036,NOR,4,76.225,6.0,1.0,,,25.711,27.752,22.762,3867.586,3895.338,3918.1,,263.0,300.0,292.0,False,MEDIUM,6.0,True,McLaren,3841.811,,1,2.0,False,,False,True
3994.431,NOR,4,76.395,7.0,1.0,,,25.871,27.748,22.776,3943.971,3971.719,3994.495,283.0,265.0,300.0,290.0,False,MEDIUM,7.0,True,McLaren,3918.036,,1,2.0,False,,False,True
4070.6,NOR,4,76.169,8.0,1.0,,,25.599,27.831,22.739,4020.094,4047.925,4070.664,285.0,264.0,300.0,296.0,False,MEDIUM,8.0,True,McLaren,3994.431,,1,2.0,False,,False,True
4147.077,NOR,4,76.477,9.0,1.0,,,25.735,27.79,22.952,4096.399,4124.189,4147.141,286.0,264.0,300.0,291.0,False,MEDIUM,9.0,True,McLaren,4070.6,,1,2.0,False,,False,True
4223.369,NOR,4,76.292,10.0,1.0,,,25.695,27.846,22.751,4172.836,4200.682,4223.433,285.0,264.0,301.0,295.0,False,MEDIUM,10.0,True,McLaren,4147.077,,1,2.0,False,,False,True
4299.672,NOR,4,76.303,11.0,1.0,,,25.733,27.862,22.708,4249.166,4277.028,4299.736,,264.0,300.0,,False,MEDIUM,11.0,True,McLaren,4223.369,,1,2.0,False,,False,True
4375.872,NOR,4,76.2,12.0,1.0,,,25.704,27.781,22.715,4325.44,4353.221,4375.936,286.0,265.0,301.0,293.0,False,MEDIUM,12.0,True,McLaren,4299.672,,1,2.0,False,,False,True
4452.114,NOR,4,76.242,13.0,1.0,,,25.881,27.675,22.686,4401.817,4429.492,4452.178,,265.0,301.0,295.0,False,MEDIUM,13.0,True,McLaren,4375.872,,1,2.0,False,,False,True
4528.584,NOR,4,76.47,14.0,1.0,,,25.717,27.99,22.763,4477.895,4505.885,4528.648,,263.0,301.0,,False,MEDIUM,14.0,True,McLaren,4452.114,,1,2.0,False,,False,True
4604.811,NOR,4,76.227,15.0,1.0,,,25.761,27.727,22.739,4554.409,4582.136,4604.875,,264.0,301.0,296.0,False,MEDIUM,15.0,True,McLaren,4528.584,,1,2.0,False,,False,True
4680.5,NOR,4,75.689,16.0,1.0,,,25.6,27.593,22.496,4630.475,4658.068,4680.564,288.0,274.0,318.0,299.0,True,MEDIUM,16.0,True,McLaren,4604.811,,1,2.0,False,,False,True
4756.585,NOR,4,76.085,17.0,1.0,,,26.095,27.634,22.356,4706.659,4734.293,4756.649,286.0,274.0,321.0,322.0,False,MEDIUM,17.0,True,McLaren,4680.5,,1,2.0,False,,False,True
4832.651,NOR,4,76.066,18.0,1.0,,,25.695,27.64,22.731,4782.344,4809.984,4832.715,282.0,264.0,297.0,315.0,False,MEDIUM,18.0,True,McLaren,4756.585,,1,1.0,False,,False,True
4908.55,NOR,4,75.899,19.0,1.0,,,25.522,27.699,22.678,4858.237,4885.936,4908.614,284.0,262.0,299.0,295.0,False,MEDIUM,19.0,True,McLaren,4832.651,,1,1.0,False,,False,True
4984.593,NOR,4,76.043,20.0,1.0,,,25.647,27.795,22.601,4934.261,4962.056,4984.657,283.0,263.0,299.0,298.0,False,MEDIUM,20.0,True,McLaren,4908.55,,1,1.0,False,,False,True
5060.322,NOR,4,75.729,21.0,1.0,,,25.557,27.582,22.59,5010.214,5037.796,5060.386,285.0,262.0,299.0,296.0,False,MEDIUM,21.0,True,McLaren,4984.593,,1,1.0,False,,False,True
5136.118,NOR,4,75.796,22.0,1.0,,,25.536,27.55,22.71,5085.922,5113.472,5136.182,287.0,264.0,299.0,,False,MEDIUM,22.0,True,McLaren,5060.322,,1,1.0,False,,False,True
5211.902,NOR,4,75.784,23.0,1.0,,,25.513,27.66,22.611,5161.695,5189.355,5211.966,281.0,263.0,301.0,300.0,False,MEDIUM,23.0,True,McLaren,5136.118,,1,1.0,False,,False,True
5287.594,NOR,4,75.692,24.0,1.0,,,25.568,27.551,22.573,5237.534,5265.085,5287.658,286.0,264.0,300.0,294.0,False,MEDIUM,24.0,True,McLaren,5211.902,,1,1.0,False,,False,True
5363.303,NOR,4,75.709,25.0,1.0,,,25.53,27.516,22.663,5313.188,5340.704,5363.367,,263.0,301.0,298.0,False,MEDIUM,25.0,True,McLaren,5287.594,,1,1.0,False,,False,True
5439.176,NOR,4,75.873,26.0,1.0,,,25.544,27.623,22.706,5388.911,5416.534,5439.24,287.0,263.0,302.0,299.0,False,MEDIUM,26.0,True,McLaren,5363.303,,1,1.0,False,,False,True
5514.92,NOR,4,75.744,27.0,1.0,,,25.533,27.558,22.653,5464.773,5492.331,5514.984,288.0,265.0,302.0,298.0,False,MEDIUM,27.0,True,McLaren,5439.176,,1,1.0,False,,False,True
5594.161,NOR,4,79.241,28.0,1.0,,5592.511,25.572,27.572,26.097,5540.556,5568.128,5594.225,286.0,264.0,,299.0,False,MEDIUM,28.0,True,McLaren,5514.92,,1,1.0,False,,False,False
5689.311,NOR,4,95.15,29.0,2.0,5614.031,,45.664,27.135,22.351,5639.889,5667.024,5689.375,285.0,264.0,302.0,,False,HARD,1.0,True,McLaren,5594.161,,1,4.0,False,,False,False
5763.882,NOR,4,74.571,30.0,2.0,,,25.3,27.055,22.216,5714.675,5741.73,5763.946,286.0,267.0,316.0,294.0,True,HARD,2.0,True,McLaren,5689.311,,1,2.0,False,,False,True
5838.273,NOR,4,74.391,31.0,2.0,,,25.109,27.052,22.23,5789.055,5816.107,5838.337,285.0,265.0,300.0,313.0,True,HARD,3.0,True,McLaren,5763.882,,1,2.0,False,,False,True
5912.749,NOR,4,74.476,32.0,2.0,,,25.183,26.976,22.317,5863.52,5890.496,5912.813,286.0,266.0,301.0,296.0,False,HARD,4.0,True,McLaren,5838.273,,1,2.0,False,,False,True
5987.238,NOR,4,74.489,33.0,2.0,,,25.107,27.127,22.255,5937.92,5965.047,5987.302,,266.0,301.0,,False,HARD,5.0,True,McLaren,5912.749,,1,1.0,False,,False,True
6061.729,NOR,4,74.491,34.0,2.0,,,25.264,26.997,22.23,6012.566,6039.563,6061.793,,266.0,301.0,294.0,False,HARD,6.0,True,McLaren,5987.238,,1,1.0,False,,False,True
6136.203,NOR,4,74.474,35.0,2.0,,,25.149,27.15,22.175,6086.942,6114.092,6136.267,,266.0,302.0,300.0,False,HARD,7.0,True,McLaren,6061.729,,1,1.0,False,,False,True
6210.515,NOR,4,74.312,36.0,2.0,,,25.111,27.004,22.197,6161.378,6188.382,6210.579,287.0,266.0,304.0,301.0,True,HARD,8.0,True,McLaren,6136.203,,1,1.0,False,,False,True
6285.239,NOR,4,74.724,37.0,2.0,,,25.373,27.081,22.27,6235.952,6263.033,6285.303,288.0,266.0,301.0,294.0,False,HARD,9.0,True,McLaren,6210.515,,1,1.0,False,,False,True
6359.796,NOR,4,74.557,38.0,2.0,,,25.185,27.171,22.201,6310.488,6337.659,6359.86,287.0,266.0,302.0,297.0,False,HARD,10.0,True,McLaren,6285.239,,1,1.0,False,,False,True
6434.503,NOR,4,74.707,39.0,2.0,,,25.151,27.261,22.295,6385.011,6412.272,6434.567,,266.0,301.0,301.0,False,HARD,11.0,True,McLaren,6359.796,,1,1.0,False,,False,True
6509.142,NOR,4,74.639,40.0,2.0,,,25.223,27.22,22.196,6459.79,6487.01,6509.206,,266.0,303.0,303.0,False,HARD,12.0,True,McLaren,6434.503,,1,1.0,False,,False,True
6584.152,NOR,4,75.01,41.0,2.0,,,25.386,27.204,22.42,6534.592,6561.796,6584.216,288.0,268.0,306.0,297.0,False,HARD,13.0,True,McLaren,6509.142,,1,1.0,False,,False,True
6659.357,NOR,4,75.205,42.0,2.0,,,25.533,27.348,22.324,6609.749,6637.097,6659.421,289.0,268.0,321.0,299.0,False,HARD,14.0,True,McLaren,6584.152,,1,1.0,False,,False,True
6734.148,NOR,4,74.791,43.0,2.0,,,25.272,27.105,22.414,6684.693,6711.798,6734.212,291.0,263.0,300.0,304.0,False,HARD,15.0,True,McLaren,6659.357,,1,1.0,False,,False,True
6808.725,NOR,4,74.577,44.0,2.0,,,25.237,27.094,22.246,6759.449,6786.543,6808.789,287.0,266.0,301.0,302.0,False,HARD,16.0,True,McLaren,6734.148,,1,1.0,False,,False,True
6883.556,NOR,4,74.831,45.0,2.0,,,25.251,27.228,22.352,6834.04,6861.268,6883.62,286.0,265.0,302.0,294.0,False,HARD,17.0,True,McLaren,6808.725,,1,1.0,False,,False,True
6958.159,NOR,4,74.603,46.0,2.0,,,25.277,27.137,22.189,6908.897,6936.034,6958.223,,265.0,303.0,303.0,False,HARD,18.0,True,McLaren,6883.556,,1,1.0,False,,False,True
7033.051,NOR,4,74.892,47.0,2.0,,,25.295,27.083,22.514,6983.518,7010.601,7033.115,288.0,266.0,303.0,294.0,False,HARD,19.0,True,McLaren,6958.159,,1,1.0,False,,False,True
7107.827,NOR,4,74.776,48.0,2.0,,,25.322,27.115,22.339,7058.437,7085.552,7107.891,,266.0,304.0,296.0,False,HARD,20.0,True,McLaren,7033.051,,1,1.0,False,,False,True
7182.738,NOR,4,74.911,49.0,2.0,,,25.36,27.17,22.381,7133.251,7160.421,7182.802,290.0,264.0,303.0,302.0,False,HARD,21.0,True,McLaren,7107.827,,1,1.0,False,,False,True
7257.313,NOR,4,74.575,50.0,2.0,,,25.153,27.143,22.279,7207.955,7235.098,7257.377,288.0,266.0,304.0,298.0,False,HARD,22.0,True,McLaren,7182.738,,1,1.0,False,,False,True
7332.145,NOR,4,74.832,51.0,2.0,,,25.276,27.199,22.357,7282.653,7309.852,7332.209,289.0,266.0,304.0,295.0,False,HARD,23.0,True,McLaren,7257.313,,1,1.0,False,,False,True
7406.832,NOR,4,74.687,52.0,2.0,,,25.2,27.18,22.307,7357.409,7384.589,7406.896,,267.0,306.0,301.0,False,HARD,24.0,True,McLaren,7332.145,,1,1.0,False,,False,True
7481.57,NOR,4,74.738,53.0,2.0,,,25.422,27.054,22.262,7432.318,7459.372,7481.634,288.0,267.0,302.0,299.0,False,HARD,25.0,True,McLaren,7406.832,,1,1.0,False,,False,True
7556.038,NOR,4,74.468,54.0,2.0,,,25.207,26.998,22.263,7506.841,7533.839,7556.102,289.0,268.0,302.0,300.0,False,HARD,26.0,True,McLaren,7481.57,,1,1.0,False,,False,True
7630.637,NOR,4,74.599,55.0,2.0,,,25.275,26.987,22.337,7581.377,7608.364,7630.701,287.0,266.0,304.0,299.0,False,HARD,27.0,True,McLaren,7556.038,,1,1.0,False,,False,True
7705.453,NOR,4,74.816,56.0,2.0,,,25.273,27.082,22.461,7655.974,7683.056,7705.517,288.0,266.0,304.0,297.0,False,HARD,28.0,True,McLaren,7630.637,,1,1.0,False,,False,True
7780.32,NOR,4,74.867,57.0,2.0,,,25.268,27.207,22.392,7730.785,7757.992,7780.384,289.0,267.0,304.0,298.0,False,HARD,29.0,True,McLaren,7705.453,,1,1.0,False,,False,True
7855.418,NOR,4,75.098,58.0,2.0,,,25.309,27.387,22.402,7805.693,7833.08,7855.482,,268.0,308.0,305.0,False,HARD,30.0,True,McLaren,7780.32,,1,1.0,False,,False,True
7930.397,NOR,4,74.979,59.0,2.0,,,25.37,27.119,22.49,7880.852,7907.971,7930.461,290.0,266.0,304.0,290.0,False,HARD,31.0,True,McLaren,7855.418,,1,1.0,False,,False,True
8004.915,NOR,4,74.518,60.0,2.0,,,25.184,27.017,22.317,7955.645,7982.662,8004.979,289.0,269.0,305.0,298.0,False,HARD,32.0,True,McLaren,7930.397,,1,1.0,False,,False,True
8079.961,NOR,4,75.046,61.0,2.0,,,25.416,27.199,22.431,8030.395,8057.594,8080.025,291.0,269.0,316.0,300.0,False,HARD,33.0,True,McLaren,8004.915,,1,1.0,False,,False,True
8154.969,NOR,4,75.008,62.0,2.0,,,25.525,27.075,22.408,8105.55,8132.625,8155.033,288.0,265.0,302.0,,False,HARD,34.0,True,McLaren,8079.961,,1,1.0,False,,False,True
8229.279,NOR,4,74.31,63.0,2.0,,,25.068,26.932,22.31,8180.101,8207.033,8229.343,289.0,266.0,300.0,303.0,True,HARD,35.0,True,McLaren,8154.969,,1,1.0,False,,False,True
8304.137,NOR,4,74.858,64.0,2.0,,,25.261,27.127,22.47,8254.604,8281.731,8304.201,288.0,265.0,300.0,297.0,False,HARD,36.0,True,McLaren,8229.279,,1,1.0,False,,False,True
8378.923,NOR,4,74.786,65.0,2.0,,,25.158,27.192,22.436,8329.359,8356.551,8378.987,289.0,266.0,302.0,,False,HARD,37.0,True,McLaren,8304.137,,1,1.0,False,,False,True
8453.547,NOR,4,74.624,66.0,2.0,,,25.044,27.19,22.39,8404.031,8431.221,8453.611,287.0,266.0,302.0,300.0,False,HARD,38.0,True,McLaren,8378.923,,1,1.0,False,,False,True
8528.235,NOR,4,74.688,67.0,2.0,,,25.18,27.163,22.345,8478.791,8505.954,8528.299,288.0,267.0,302.0,302.0,False,HARD,39.0,True,McLaren,8453.547,,1,1.0,False,,False,True
8602.895,NOR,4,74.66,68.0,2.0,,,25.108,27.111,22.441,8553.407,8580.518,8602.959,,266.0,302.0,299.0,False,HARD,40.0,True,McLaren,8528.235,,1,1.0,False,,False,True
8677.552,NOR,4,74.657,69.0,2.0,,,25.141,27.154,22.362,8628.1,8655.254,8677.616,,267.0,303.0,308.0,False,HARD,41.0,True,McLaren,8602.895,,1,1.0,False,,False,True
8752.423,NOR,4,74.871,70.0,2.0,,,25.242,27.256,22.373,8702.858,8730.114,8752.487,289.0,267.0,304.0,303.0,False,HARD,42.0,True,McLaren,8677.552,,1,1.0,False,,False,True
8827.43,NOR,4,75.007,71.0,2.0,,,25.237,27.276,22.494,8777.724,8805.0,8827.494,291.0,260.0,301.0,301.0,False,HARD,43.0,True,McLaren,8752.423,,1,1.0,False,,False,True
8901.247,NOR,4,73.817,72.0,2.0,,,24.876,26.837,22.104,8852.37,8879.207,8901.311,289.0,268.0,304.0,309.0,True,HARD,44.0,True,McLaren,8827.43,,1,1.0,False,,False,True
3535.643,VER,1,79.915,1.0,1.0,,,,26.881,22.957,,3512.779,3535.774,280.0,258.0,291.0,210.0,False,MEDIUM,1.0,True,Red Bull Racing,3455.434,,1,1.0,False,,False,False
3611.749,VER,1,76.106,2.0,1.0,,,26.012,27.179,22.915,3561.725,3588.904,3611.819,281.0,256.0,292.0,285.0,True,MEDIUM,2.0,True,Red Bull Racing,3535.643,,1,1.0,False,,False,True
