Year,Round,GrandPrix,Driver,Team,FP2_LapTime,FP2_GapToBest
2023,1,Bahrain Grand Prix,ALB,Williams,92.44,1.533
2023,1,Bahrain Grand Prix,ALO,Aston Martin,90.907,0.0
2023,1,Bahrain Grand Prix,BOT,Alfa Romeo,91.793,0.886
2023,1,Bahrain Grand Prix,DEV,AlphaTauri,92.605,1.698
2023,1,Bahrain Grand Prix,GAS,Alpine,91.475,0.568
2023,1,Bahrain Grand Prix,HAM,Mercedes,91.543,0.636
2023,1,Bahrain Grand Prix,HUL,Haas F1 Team,91.376,0.469
2023,1,Bahrain Grand Prix,LEC,Ferrari,91.367,0.46
2023,1,Bahrain Grand Prix,MAG,Haas F1 Team,92.11,1.203
2023,1,Bahrain Grand Prix,NOR,McLaren,91.57,0.663
2023,1,Bahrain Grand Prix,OCO,Alpine,91.608,0.701
2023,1,Bahrain Grand Prix,PER,Red Bull Racing,91.078,0.171
2023,1,Bahrain Grand Prix,PIA,McLaren,92.024,1.117
2023,1,Bahrain Grand Prix,RUS,Mercedes,91.882,0.975
2023,1,Bahrain Grand Prix,SAI,Ferrari,91.956,1.049
2023,1,Bahrain Grand Prix,SAR,Williams,92.749,1.842
2023,1,Bahrain Grand Prix,STR,Aston Martin,91.45,0.543
2023,1,Bahrain Grand Prix,TSU,AlphaTauri,92.525,1.6179999999999999
2023,1,Bahrain Grand Prix,VER,Red Bull Racing,91.076,0.169
2023,1,Bahrain Grand Prix,ZHO,Alfa Romeo,91.586,0.679
2023,2,Saudi Arabian Grand Prix,ALB,Williams,90.81,1.207
2023,2,Saudi Arabian Grand Prix,ALO,Aston Martin,89.811,0.208
2023,2,Saudi Arabian Grand Prix,BOT,Alfa Romeo,91.052,1.449
2023,2,Saudi Arabian Grand Prix,DEV,AlphaTauri,90.921,1.318
2023,2,Saudi Arabian Grand Prix,GAS,Alpine,90.1,0.497
2023,2,Saudi Arabian Grand Prix,HAM,Mercedes,90.599,0.996
2023,2,Saudi Arabian Grand Prix,HUL,Haas F1 Team,90.181,0.578
2023,2,Saudi Arabian Grand Prix,LEC,Ferrari,90.341,0.738
2023,2,Saudi Arabian Grand Prix,MAG,Haas F1 Team,90.82,1.217
2023,2,Saudi Arabian Grand Prix,NOR,McLaren,90.721,1.1179999999999999
2023,2,Saudi Arabian Grand Prix,OCO,Alpine,90.039,0.436
2023,2,Saudi Arabian Grand Prix,PER,Red Bull Racing,89.902,0.299
2023,2,Saudi Arabian Grand Prix,PIA,McLaren,90.964,1.361
2023,2,Saudi Arabian Grand Prix,RUS,Mercedes,90.07,0.467
2023,2,Saudi Arabian Grand Prix,SAI,Ferrari,90.592,0.989
2023,2,Saudi Arabian Grand Prix,SAR,Williams,90.959,1.3559999999999999
2023,2,Saudi Arabian Grand Prix,STR,Aston Martin,90.11,0.507
2023,2,Saudi Arabian Grand Prix,TSU,AlphaTauri,90.776,1.173
2023,2,Saudi Arabian Grand Prix,VER,Red Bull Racing,89.603,0.0
2023,2,Saudi Arabian Grand Prix,ZHO,Alfa Romeo,90.837,1.234
2023,3,Australian Grand Prix,ALB,Williams,81.182,2.295
2023,3,Australian Grand Prix,ALO,Aston Martin,78.887,0.0
2023,3,Australian Grand Prix,BOT,Alfa Romeo,80.312,1.425
2023,3,Australian Grand Prix,DEV,AlphaTauri,80.6,1.713
2023,3,Australian Grand Prix,GAS,Alpine,80.206,1.319
2023,3,Australian Grand Prix,HAM,Mercedes,80.323,1.436
2023,3,Australian Grand Prix,HUL,Haas F1 Team,80.194,1.307
2023,3,Australian Grand Prix,LEC,Ferrari,79.332,0.445
2023,3,Australian Grand Prix,MAG,Haas F1 Team,81.266,2.379
2023,3,Australian Grand Prix,NOR,McLaren,80.176,1.289
2023,3,Australian Grand Prix,OCO,Alpine,79.725,0.838
2023,3,Australian Grand Prix,PER,Red Bull Racing,80.083,1.196
2023,3,Australian Grand Prix,PIA,McLaren,80.38,1.4929999999999999
2023,3,Australian Grand Prix,RUS,Mercedes,79.672,0.785
2023,3,Australian Grand Prix,SAI,Ferrari,79.695,0.808
2023,3,Australian Grand Prix,STR,Aston Martin,80.579,1.692
2023,3,Australian Grand Prix,TSU,AlphaTauri,80.22,1.333
2023,3,Australian Grand Prix,VER,Red Bull Racing,79.502,0.615
2023,3,Australian Grand Prix,ZHO,Alfa Romeo,80.47,1.583
2023,5,Miami Grand Prix,ALB,Williams,89.046,1.116
2023,5,Miami Grand Prix,ALO,Aston Martin,88.66,0.73
2023,5,Miami Grand Prix,BOT,Alfa Romeo,89.189,1.259
2023,5,Miami Grand Prix,DEV,AlphaTauri,89.928,1.998
2023,5,Miami Grand Prix,GAS,Alpine,89.098,1.168
2023,5,Miami Grand Prix,HAM,Mercedes,88.858,0.928
2023,5,Miami Grand Prix,HUL,Haas F1 Team,89.393,1.463
2023,5,Miami Grand Prix,LEC,Ferrari,88.398,0.468
2023,5,Miami Grand Prix,MAG,Haas F1 Team,89.171,1.241
2023,5,Miami Grand Prix,NOR,McLaren,88.741,0.811
2023,5,Miami Grand Prix,OCO,Alpine,88.937,1.007
2023,5,Miami Grand Prix,PER,Red Bull Racing,88.419,0.489
2023,5,Miami Grand Prix,PIA,McLaren,89.339,1.409
2023,5,Miami Grand Prix,RUS,Mercedes,89.216,1.286
2023,5,Miami Grand Prix,SAI,Ferrari,88.315,0.385
2023,5,Miami Grand Prix,SAR,Williams,90.038,2.108
2023,5,Miami Grand Prix,STR,Aston Martin,88.93,1.0
2023,5,Miami Grand Prix,TSU,AlphaTauri,89.613,1.683
